Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,19.469999,19.809999,19.320000,19.639999,19.014986,78700
2020-02-04,19.680000,20.100000,19.680000,19.860001,19.227985,124600
2020-02-05,20.049999,20.100000,19.709999,19.799999,19.169893,71500
2020-02-06,19.799999,19.980000,19.410000,19.410000,18.792305,55200
2020-02-07,19.420000,19.520000,19.000000,19.000000,18.395353,96300
2020-02-10,19.020000,19.400000,18.500000,18.870001,18.269491,91800
2020-02-11,18.900000,19.700001,18.900000,19.350000,18.734215,59600
2020-02-12,19.400000,19.900000,19.400000,19.840000,19.208622,41400
2020-02-13,19.430000,19.719999,19.360001,19.600000,18.976259,29600
2020-02-14,19.600000,19.680000,19.389999,19.510000,18.889124,23700
2020-02-17,19.530001,19.530001,19.270000,19.440001,18.821352,44500
2020-02-18,19.440001,19.750000,19.360001,19.610001,18.985941,49600
2020-02-19,19.620001,20.500000,19.620001,20.100000,19.460348,144600
2020-02-20,20.100000,20.100000,19.730000,19.950001,19.315121,54900
2020-02-21,19.950001,20.080000,19.540001,20.080000,19.440983,61000
2020-02-26,null,null,null,null,null,null
2020-02-27,18.900000,19.150000,18.500000,18.900000,18.298534,72900
2020-02-28,18.780001,19.000000,17.959999,18.500000,17.911264,131700
2020-03-02,18.309999,19.469999,18.309999,19.400000,18.782623,91500
2020-03-03,19.490000,19.709999,19.049999,19.700001,19.073078,60300
2020-03-04,19.900000,20.400000,19.670000,20.400000,19.750799,119400
2020-03-05,20.200001,20.400000,19.840000,19.969999,19.334484,78100
2020-03-06,19.389999,19.690001,18.740000,18.980000,18.375990,84500
2020-03-09,17.900000,18.219999,17.000000,17.650000,17.088314,147500
2020-03-10,18.290001,18.430000,17.750000,17.969999,17.398130,51800
2020-03-11,17.730000,17.969999,16.719999,17.190001,16.642954,132400
2020-03-12,16.000000,16.000000,14.820000,15.340000,14.851828,461800
2020-03-13,16.270000,16.500000,14.860000,15.580000,15.084189,229100
2020-03-16,14.800000,15.090000,14.000000,15.090000,14.609783,116500
2020-03-17,15.340000,15.350000,14.360000,14.360000,13.903014,284400
2020-03-18,13.510000,13.890000,13.000000,13.890000,13.447971,299100
2020-03-19,13.610000,14.110000,13.000000,14.070000,13.622243,143700
2020-03-20,14.410000,14.850000,13.270000,13.950000,13.506062,122500
2020-03-23,13.710000,13.900000,13.000000,13.800000,13.360836,107300
2020-03-24,14.420000,15.170000,14.160000,15.170000,14.687238,141900
2020-03-25,15.400000,16.350000,15.130000,16.350000,15.829686,135500
2020-03-26,16.370001,17.389999,16.000000,17.389999,16.836588,103200
